representative,fold,component_id,forms,disagreement_g1_same,disagreement_g2_same,disagreement_pairs,aligned_switches,reverse_switches,delta,switch_coverage,correct_switch_share,directional_identity
shortest,1,27700,18,17,0,17,0,0,0.0,0.0,nan,0.0
shortest,1,27714,39,604,0,604,24,0,0.039735099337748346,0.039735099337748346,1.0,0.039735099337748346
shortest,1,27739,43,689,0,689,0,0,0.0,0.0,nan,0.0
shortest,1,27782,9,30,0,30,0,0,0.0,0.0,nan,0.0
shortest,1,27829,13,22,0,22,0,0,0.0,0.0,nan,0.0
shortest,1,27839,14,24,0,24,22,0,0.9166666666666666,0.9166666666666666,1.0,0.9166666666666666
shortest,1,27870,19,34,0,34,0,0,0.0,0.0,nan,0.0
shortest,1,27873,12,20,0,20,18,0,0.9,0.9,1.0,0.9
shortest,1,27876,23,205,0,205,0,0,0.0,0.0,nan,0.0
shortest,1,27933,22,92,0,92,0,0,0.0,0.0,nan,0.0
shortest,1,27945,3,2,0,2,2,0,1.0,1.0,1.0,1.0
shortest,1,27982,79,2645,0,2645,0,0,0.0,0.0,nan,0.0
shortest,1,27987,34,359,0,359,34,0,0.0947075208913649,0.0947075208913649,1.0,0.0947075208913649
shortest,1,27988,4,4,0,4,2,0,0.5,0.5,1.0,0.5
shortest,1,28014,9,18,0,18,0,0,0.0,0.0,nan,0.0
shortest,1,28015,31,271,0,271,231,0,0.8523985239852399,0.8523985239852399,1.0,0.8523985239852399
shortest,1,28046,34,289,0,289,0,0,0.0,0.0,nan,0.0
shortest,1,28081,13,48,0,48,0,0,0.0,0.0,nan,0.0
shortest,1,28118,40,498,0,498,0,0,0.0,0.0,nan,0.0
shortest,1,28166,8,12,0,12,0,0,0.0,0.0,nan,0.0
shortest,1,28221,50,988,0,988,5,0,0.005060728744939271,0.005060728744939271,1.0,0.005060728744939271
shortest,1,28227,8,15,0,15,0,0,0.0,0.0,nan,0.0
shortest,1,28314,43,615,0,615,0,0,0.0,0.0,nan,0.0
shortest,1,28334,26,153,0,153,0,0,0.0,0.0,nan,0.0
shortest,1,28350,18,17,0,17,0,0,0.0,0.0,nan,0.0
shortest,1,28351,7,6,0,6,0,0,0.0,0.0,nan,0.0
shortest,1,28365,25,178,0,178,0,0,0.0,0.0,nan,0.0
shortest,1,28373,74,2102,0,2102,0,0,0.0,0.0,nan,0.0
shortest,1,28393,14,60,0,60,12,0,0.2,0.2,1.0,0.2
shortest,1,28427,126,7335,0,7335,0,0,0.0,0.0,nan,0.0
shortest,1,28432,5,4,0,4,0,0,0.0,0.0,nan,0.0
shortest,1,28439,53,1097,0,1097,0,0,0.0,0.0,nan,0.0
shortest,1,28467,5,6,0,6,0,0,0.0,0.0,nan,0.0
shortest,1,28490,13,22,0,22,0,0,0.0,0.0,nan,0.0
shortest,1,28503,8,12,0,12,0,0,0.0,0.0,nan,0.0
shortest,1,28624,12,36,0,36,0,0,0.0,0.0,nan,0.0
shortest,1,28645,7,10,0,10,0,0,0.0,0.0,nan,0.0
shortest,1,28669,20,51,0,51,16,0,0.3137254901960784,0.3137254901960784,1.0,0.3137254901960784
shortest,1,28685,15,48,0,48,4,0,0.08333333333333333,0.08333333333333333,1.0,0.08333333333333333
shortest,1,28691,7,16,0,16,0,0,0.0,0.0,nan,0.0
shortest,1,28826,9,20,0,20,0,0,0.0,0.0,nan,0.0
shortest,1,28830,10,28,0,28,2,0,0.07142857142857142,0.07142857142857142,1.0,0.07142857142857142
shortest,1,28852,9,18,0,18,0,0,0.0,0.0,nan,0.0
shortest,1,28866,44,804,0,804,0,0,0.0,0.0,nan,0.0
shortest,1,28886,30,347,0,347,0,0,0.0,0.0,nan,0.0
shortest,1,28887,10,9,0,9,0,0,0.0,0.0,nan,0.0
shortest,1,28900,2,1,0,1,0,0,0.0,0.0,nan,0.0
shortest,1,28904,25,46,0,46,0,0,0.0,0.0,nan,0.0
shortest,1,28918,7,6,0,6,6,0,1.0,1.0,1.0,1.0
shortest,1,28942,13,22,0,22,0,0,0.0,0.0,nan,0.0
shortest,1,28967,66,1847,0,1847,0,0,0.0,0.0,nan,0.0
shortest,1,28972,18,87,0,87,0,0,0.0,0.0,nan,0.0
shortest,1,28984,63,1481,0,1481,0,0,0.0,0.0,nan,0.0
shortest,1,29033,12,36,0,36,0,0,0.0,0.0,nan,0.0
shortest,1,29137,14,33,0,33,0,0,0.0,0.0,nan,0.0
shortest,1,29148,30,244,0,244,6,0,0.02459016393442623,0.02459016393442623,1.0,0.02459016393442623
shortest,1,29165,8,12,0,12,0,0,0.0,0.0,nan,0.0
shortest,1,29182,4,3,0,3,0,0,0.0,0.0,nan,0.0
shortest,1,29218,18,17,0,17,0,0,0.0,0.0,nan,0.0
shortest,1,29220,7,6,0,6,0,0,0.0,0.0,nan,0.0
shortest,1,29248,39,395,0,395,0,0,0.0,0.0,nan,0.0
shortest,1,29249,24,23,0,23,0,0,0.0,0.0,nan,0.0
shortest,1,29273,26,212,0,212,0,0,0.0,0.0,nan,0.0
shortest,1,29277,25,47,0,47,1,0,0.02127659574468085,0.02127659574468085,1.0,0.02127659574468085
shortest,1,29281,10,27,0,27,18,0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666
shortest,1,29290,45,599,0,599,0,0,0.0,0.0,nan,0.0
shortest,1,29310,25,148,0,148,0,0,0.0,0.0,nan,0.0
shortest,1,29349,77,2284,0,2284,11,0,0.004816112084063047,0.004816112084063047,1.0,0.004816112084063047
shortest,1,29364,49,913,0,913,17,0,0.018619934282584884,0.018619934282584884,1.0,0.018619934282584884
shortest,1,29375,159,11643,0,11643,68,0,0.005840419135961522,0.005840419135961522,1.0,0.005840419135961522
shortest,1,29386,86,3199,0,3199,0,0,0.0,0.0,nan,0.0
shortest,1,29424,144,9360,0,9360,142,0,0.01517094017094017,0.01517094017094017,1.0,0.01517094017094017
shortest,1,29426,36,423,0,423,0,0,0.0,0.0,nan,0.0
shortest,1,29431,21,139,0,139,16,0,0.11510791366906475,0.11510791366906475,1.0,0.11510791366906475
shortest,1,29433,35,408,0,408,0,0,0.0,0.0,nan,0.0
shortest,1,29448,46,717,0,717,323,0,0.4504881450488145,0.4504881450488145,1.0,0.4504881450488145
shortest,1,29478,24,119,0,119,0,0,0.0,0.0,nan,0.0
shortest,1,29519,13,22,0,22,0,0,0.0,0.0,nan,0.0
shortest,1,29529,23,102,0,102,0,0,0.0,0.0,nan,0.0
shortest,1,29556,65,1752,0,1752,0,0,0.0,0.0,nan,0.0
shortest,1,29563,8,12,0,12,12,0,1.0,1.0,1.0,1.0
shortest,1,29595,10,25,0,25,0,0,0.0,0.0,nan,0.0
shortest,1,29615,13,54,0,54,0,0,0.0,0.0,nan,0.0
shortest,1,29626,4,4,0,4,0,0,0.0,0.0,nan,0.0
shortest,1,29640,18,17,0,17,0,0,0.0,0.0,nan,0.0
shortest,1,29642,25,114,0,114,0,0,0.0,0.0,nan,0.0
shortest,1,29720,46,771,0,771,17,0,0.02204928664072633,0.02204928664072633,1.0,0.02204928664072633
shortest,1,29780,19,48,0,48,0,0,0.0,0.0,nan,0.0
shortest,1,29840,19,100,0,100,0,0,0.0,0.0,nan,0.0
shortest,1,29857,31,365,0,365,0,0,0.0,0.0,nan,0.0
shortest,1,29863,15,84,0,84,0,0,0.0,0.0,nan,0.0
shortest,1,29867,18,83,0,83,0,0,0.0,0.0,nan,0.0
shortest,1,29906,19,34,0,34,0,0,0.0,0.0,nan,0.0
shortest,1,29911,22,159,0,159,0,0,0.0,0.0,nan,0.0
shortest,1,29945,24,167,0,167,0,0,0.0,0.0,nan,0.0
shortest,1,29982,22,157,0,157,0,0,0.0,0.0,nan,0.0
shortest,1,29994,11,10,0,10,0,0,0.0,0.0,nan,0.0
shortest,1,30032,52,1067,0,1067,0,0,0.0,0.0,nan,0.0
shortest,1,30067,229,24378,0,24378,0,0,0.0,0.0,nan,0.0
shortest,1,30069,28,295,0,295,30,0,0.1016949152542373,0.1016949152542373,1.0,0.1016949152542373
shortest,1,30072,58,1282,0,1282,0,0,0.0,0.0,nan,0.0
shortest,1,30078,5,6,0,6,0,0,0.0,0.0,nan,0.0
shortest,1,30082,21,72,0,72,0,0,0.0,0.0,nan,0.0
shortest,1,30099,6,5,0,5,5,0,1.0,1.0,1.0,1.0
shortest,1,30100,27,245,0,245,0,0,0.0,0.0,nan,0.0
shortest,1,30114,13,22,0,22,0,0,0.0,0.0,nan,0.0
shortest,1,30142,29,215,0,215,0,0,0.0,0.0,nan,0.0
